year,quarter,programme,programme_label,region,region_label,projet,projet_label,ligne,ligne_label,type_ligne,lf_mdh,taux,line_id,budget_type,lf_ratio,lf_share
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,12.119,0.0,P300-R00-Pj10-L13,INVESTISSEMENT,0.9167,0.0112
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,12.119,0.0802,P300-R00-Pj10-L13,INVESTISSEMENT,0.9167,0.0112
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,12.119,0.2167,P300-R00-Pj10-L13,INVESTISSEMENT,0.9167,0.0112
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,12.119,0.7144,P300-R00-Pj10-L13,INVESTISSEMENT,0.9167,0.0112
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.983,0.0003,P300-R00-Pj10-L13,INVESTISSEMENT,0.6795,0.0112
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.983,0.0392,P300-R00-Pj10-L13,INVESTISSEMENT,0.6795,0.0112
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.983,0.1822,P300-R00-Pj10-L13,INVESTISSEMENT,0.6795,0.0112
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.983,0.804,P300-R00-Pj10-L13,INVESTISSEMENT,0.6795,0.0112
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.898,0.0,P300-R00-Pj10-L13,INVESTISSEMENT,0.6731,0.0112
2022,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.898,0.2118,P300-R00-Pj10-L13,INVESTISSEMENT,0.6731,0.0112
2022,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.898,0.5463,P300-R00-Pj10-L13,INVESTISSEMENT,0.6731,0.0112
2022,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,8.898,0.9964,P300-R00-Pj10-L13,INVESTISSEMENT,0.6731,0.0112
2023,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,10.332,0.0075,P300-R00-Pj10-L13,INVESTISSEMENT,0.7816,0.0112
2023,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,10.332,0.081,P300-R00-Pj10-L13,INVESTISSEMENT,0.7816,0.0112
2023,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,10.332,0.1861,P300-R00-Pj10-L13,INVESTISSEMENT,0.7816,0.0112
2023,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,10.332,0.8349,P300-R00-Pj10-L13,INVESTISSEMENT,0.7816,0.0112
2024,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,20.143,0.0012,P300-R00-Pj10-L13,INVESTISSEMENT,1.5237,0.0112
2024,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,20.143,0.0257,P300-R00-Pj10-L13,INVESTISSEMENT,1.5237,0.0112
2024,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,20.143,0.339,P300-R00-Pj10-L13,INVESTISSEMENT,1.5237,0.0112
2024,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,20.143,0.7925,P300-R00-Pj10-L13,INVESTISSEMENT,1.5237,0.0112
2025,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,18.844,0.0044,P300-R00-Pj10-L13,INVESTISSEMENT,1.4254,0.0112
2025,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,18.844,0.0511,P300-R00-Pj10-L13,INVESTISSEMENT,1.4254,0.0112
2025,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,18.844,0.4835,P300-R00-Pj10-L13,INVESTISSEMENT,1.4254,0.0112
2025,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,13,Construction et équipement cour de cassation,travaux,18.844,1.0954,P300-R00-Pj10-L13,INVESTISSEMENT,1.4254,0.0112
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,25.449,0.0,P300-R00-Pj10-L15,INVESTISSEMENT,0.9167,0.0235
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,25.449,0.1149,P300-R00-Pj10-L15,INVESTISSEMENT,0.9167,0.0235
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,25.449,0.2466,P300-R00-Pj10-L15,INVESTISSEMENT,0.9167,0.0235
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,25.449,0.7961,P300-R00-Pj10-L15,INVESTISSEMENT,0.9167,0.0235
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.864,0.0019,P300-R00-Pj10-L15,INVESTISSEMENT,0.6795,0.0235
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.864,0.0372,P300-R00-Pj10-L15,INVESTISSEMENT,0.6795,0.0235
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.864,0.1887,P300-R00-Pj10-L15,INVESTISSEMENT,0.6795,0.0235
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.864,0.7599,P300-R00-Pj10-L15,INVESTISSEMENT,0.6795,0.0235
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.685,0.0094,P300-R00-Pj10-L15,INVESTISSEMENT,0.6731,0.0235
2022,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.685,0.19,P300-R00-Pj10-L15,INVESTISSEMENT,0.6731,0.0235
2022,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.685,0.4476,P300-R00-Pj10-L15,INVESTISSEMENT,0.6731,0.0235
2022,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,18.685,0.9522,P300-R00-Pj10-L15,INVESTISSEMENT,0.6731,0.0235
2023,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,21.696,0.0087,P300-R00-Pj10-L15,INVESTISSEMENT,0.7815,0.0235
2023,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,21.696,0.0442,P300-R00-Pj10-L15,INVESTISSEMENT,0.7815,0.0235
2023,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,21.696,0.1463,P300-R00-Pj10-L15,INVESTISSEMENT,0.7815,0.0235
2023,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,21.696,0.766,P300-R00-Pj10-L15,INVESTISSEMENT,0.7815,0.0235
2024,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,42.301,0.0021,P300-R00-Pj10-L15,INVESTISSEMENT,1.5237,0.0235
2024,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,42.301,0.0543,P300-R00-Pj10-L15,INVESTISSEMENT,1.5237,0.0235
2024,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,42.301,0.3835,P300-R00-Pj10-L15,INVESTISSEMENT,1.5237,0.0235
2024,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,42.301,0.972,P300-R00-Pj10-L15,INVESTISSEMENT,1.5237,0.0235
2025,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,39.573,0.002,P300-R00-Pj10-L15,INVESTISSEMENT,1.4255,0.0235
2025,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,39.573,0.0436,P300-R00-Pj10-L15,INVESTISSEMENT,1.4255,0.0235
2025,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,39.573,0.2518,P300-R00-Pj10-L15,INVESTISSEMENT,1.4255,0.0235
2025,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,15,Construction et équipement tribunaux 1ère inst.,travaux,39.573,0.9492,P300-R00-Pj10-L15,INVESTISSEMENT,1.4255,0.0235
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,9.695,0.0,P300-R00-Pj10-L16,INVESTISSEMENT,0.9167,0.009
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,9.695,0.1064,P300-R00-Pj10-L16,INVESTISSEMENT,0.9167,0.009
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,9.695,0.1511,P300-R00-Pj10-L16,INVESTISSEMENT,0.9167,0.009
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,9.695,0.6724,P300-R00-Pj10-L16,INVESTISSEMENT,0.9167,0.009
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.186,0.0,P300-R00-Pj10-L16,INVESTISSEMENT,0.6795,0.009
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.186,0.0529,P300-R00-Pj10-L16,INVESTISSEMENT,0.6795,0.009
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.186,0.167,P300-R00-Pj10-L16,INVESTISSEMENT,0.6795,0.009
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.186,0.7026,P300-R00-Pj10-L16,INVESTISSEMENT,0.6795,0.009
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.118,0.0076,P300-R00-Pj10-L16,INVESTISSEMENT,0.6731,0.009
2022,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.118,0.1562,P300-R00-Pj10-L16,INVESTISSEMENT,0.6731,0.009
2022,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.118,0.3643,P300-R00-Pj10-L16,INVESTISSEMENT,0.6731,0.009
2022,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,7.118,0.8231,P300-R00-Pj10-L16,INVESTISSEMENT,0.6731,0.009
2023,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,8.265,0.0015,P300-R00-Pj10-L16,INVESTISSEMENT,0.7815,0.009
2023,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,8.265,0.0572,P300-R00-Pj10-L16,INVESTISSEMENT,0.7815,0.009
2023,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,8.265,0.1538,P300-R00-Pj10-L16,INVESTISSEMENT,0.7815,0.009
2023,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,8.265,0.7051,P300-R00-Pj10-L16,INVESTISSEMENT,0.7815,0.009
2024,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,16.115,0.0009,P300-R00-Pj10-L16,INVESTISSEMENT,1.5238,0.009
2024,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,16.115,0.0351,P300-R00-Pj10-L16,INVESTISSEMENT,1.5238,0.009
2024,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,16.115,0.3045,P300-R00-Pj10-L16,INVESTISSEMENT,1.5238,0.009
2024,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,16.115,0.7564,P300-R00-Pj10-L16,INVESTISSEMENT,1.5238,0.009
2025,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,15.075,0.0023,P300-R00-Pj10-L16,INVESTISSEMENT,1.4254,0.009
2025,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,15.075,0.0256,P300-R00-Pj10-L16,INVESTISSEMENT,1.4254,0.009
2025,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,15.075,0.4313,P300-R00-Pj10-L16,INVESTISSEMENT,1.4254,0.009
2025,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,10,Infrastructure,16,Construction Centres de Juges Résidents,travaux,15.075,0.9493,P300-R00-Pj10-L16,INVESTISSEMENT,1.4254,0.009
2020,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,19.39,0.0,P300-R00-Pj20-L21,INVESTISSEMENT,0.9167,0.0179
2020,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,19.39,0.2152,P300-R00-Pj20-L21,INVESTISSEMENT,0.9167,0.0179
2020,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,19.39,0.335,P300-R00-Pj20-L21,INVESTISSEMENT,0.9167,0.0179
2020,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,19.39,0.7206,P300-R00-Pj20-L21,INVESTISSEMENT,0.9167,0.0179
2021,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,14.373,0.0189,P300-R00-Pj20-L21,INVESTISSEMENT,0.6795,0.0179
2021,2,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,14.373,0.2093,P300-R00-Pj20-L21,INVESTISSEMENT,0.6795,0.0179
2021,3,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,14.373,0.3654,P300-R00-Pj20-L21,INVESTISSEMENT,0.6795,0.0179
2021,4,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,14.373,0.8376,P300-R00-Pj20-L21,INVESTISSEMENT,0.6795,0.0179
2022,1,300,Soutien et Pilotage,00,SERVICES COMMUNS,20,Gestion des ressources,21,Guichets d'information judiciaire et de plaintes,equipements,14.237,0.0404,P300-R00-Pj20-L21,INVESTISSEMENT,0.6731,0.0179
